mlcape,mlcin,srh01
936.667,-13.034,192.192
431.833,-10.024,146.999
1012.333,-1.621,178.584
134.000,-213.258,467.000
0.000,0.145,439.782
0.000,-0.089,371.555
1469.500,-2.438,451.632
1078.000,-5.586,451.413
166.500,-122.814,475.189
1533.167,-2.807,86.731
1771.833,-0.779,56.828
1136.333,-6.668,50.742
498.000,-5.760,126.339
316.000,-8.869,83.915
114.000,-48.285,26.315
161.667,-4.968,324.239
135.167,-21.832,318.074
40.667,-76.614,331.663
386.667,-35.411,196.077
46.667,-71.630,151.823
0.000,0.061,134.326
572.667,-3.977,139.662
663.333,-3.590,91.700
610.667,-3.051,81.932
0.000,-0.006,295.090
0.000,0.215,298.470
0.000,0.270,343.180
20.000,0.098,19.211
0.000,-0.758,34.471
0.000,-5.337,19.313
661.000,-0.043,183.378
218.000,-7.477,214.033
348.000,-3.749,189.452
424.000,-50.669,136.366
140.333,-220.326,183.456
29.333,-161.772,130.148
0.000,0.156,33.902
0.000,0.036,44.441
0.000,-0.303,152.138
172.000,-30.192,318.118
410.000,-27.334,288.639
126.000,-41.664,109.093
910.667,0.281,180.105
461.333,-66.998,263.394
4.000,-8.644,261.361
186.667,-35.271,123.963
28.333,-226.528,143.485
0.000,0.376,226.979
460.833,-6.698,252.725
780.000,0.118,151.904
414.333,-79.088,106.464
305.000,-36.048,328.552
87.500,-54.623,357.070
0.000,0.044,395.857
103.667,-15.223,200.387
23.667,0.265,160.397
20.000,0.467,67.533
900.000,-32.982,264.394
700.000,-61.694,180.121
1040.000,-126.374,251.384
654.000,-3.629,69.197
1179.000,-1.044,80.750
166.000,-15.313,160.929
155.000,-8.954,3.196
115.000,-13.843,3.301
0.000,-0.324,31.208
2019.333,-1.000,115.465
1130.667,-15.952,191.878
186.000,-212.660,293.104
3068.833,-6.351,121.433
3161.833,-4.853,198.159
2483.167,-40.085,204.485
973.333,-5.375,144.109
843.333,-10.246,102.951
353.333,-86.937,258.089
2423.333,-7.346,50.538
1683.333,-7.641,61.600
420.000,-165.624,109.082
2730.000,-22.168,99.151
2634.000,-20.065,69.492
1332.667,-125.763,84.524
469.500,-11.039,95.628
1160.000,-13.166,79.418
1095.000,-25.269,46.979
3073.333,-3.472,25.427
3216.667,-10.283,15.041
3076.667,-51.904,36.418
1546.000,-18.120,31.876
1998.667,-22.492,20.949
1009.333,-77.860,26.107
1935.000,-1.997,135.502
1129.500,-20.651,296.827
430.833,-148.982,291.163
1117.500,2.336,51.001
386.667,-16.035,172.474
9.167,-181.417,193.890
2555.667,3.573,45.465
1258.000,-34.006,62.948
569.667,-95.854,102.369
1096.667,-8.727,45.964
1075.000,-4.056,100.800
836.667,-57.790,63.353
230.000,-12.035,63.059
7.000,-83.200,134.242
0.000,-0.740,98.936
3410.000,-1.406,16.979
3570.000,-2.801,3.723
2720.000,-81.070,50.280
449.000,-0.417,85.212
212.500,-11.414,97.926
231.000,-5.304,173.999
1698.667,-61.408,151.326
2072.000,-0.447,47.496
1627.333,-174.588,55.099
2044.000,-18.141,5.723
2033.333,-12.878,17.830
750.000,-156.796,29.372
1878.000,-4.655,27.876
2174.000,-4.821,24.678
1172.000,-96.072,37.225
584.000,0.453,4.801
316.500,-23.919,109.942
564.500,-7.084,93.331
1800.000,-14.728,23.801
2120.000,4.399,5.657
2330.000,-10.264,7.860
15.500,-12.276,-4.037
10.000,-127.839,-6.416
0.000,1.739,-27.170
1704.500,-9.176,41.378
520.833,-42.662,68.718
809.833,-17.987,12.204
30.167,-192.054,13.049
298.833,-109.134,43.202
171.000,-124.913,34.269
2563.000,-3.560,74.319
2253.000,-0.271,105.293
971.000,-93.089,144.224
598.833,-2.092,157.817
1218.000,-0.997,154.900
668.167,-2.064,62.193
2561.500,-27.394,51.506
2156.833,-63.700,76.142
1173.333,-142.017,140.513
764.000,-35.524,19.507
1332.000,-3.747,11.995
981.000,-15.646,10.971
580.000,-19.608,70.355
491.000,-22.292,54.500
263.667,-54.847,52.315
804.500,-44.871,191.662
250.000,-104.507,117.795
59.500,-185.387,232.177
4496.500,-5.587,16.511
4514.500,-28.471,15.620
3943.000,-6.837,49.097
1596.000,-13.335,70.955
1374.667,-7.386,34.618
1084.000,-5.160,-6.629
2150.000,-3.446,14.352
1815.000,-1.794,16.089
1350.000,-10.929,34.543
997.333,-4.380,177.270
169.333,-78.048,238.575
242.000,-75.139,185.538
1727.500,-27.593,105.331
1626.667,-19.308,81.099
